run_id,coverage,time_s,total_lines
50,23,14.8619,34
100,23,32.8319,34
150,24,37.7278,34
200,24,44.9885,34
250,24,56.5008,34
300,26,62.8699,34
350,28,64.8787,34
400,29,65.6787,34
450,29,66.4172,34
500,29,67.0954,34
550,31,67.7424,34
600,31,68.3293,34
650,31,69.0376,34
700,31,69.7164,34
750,31,70.2732,34
800,31,70.9502,34
850,31,71.5966,34
900,31,72.3031,34
950,31,73.0108,34
1000,31,73.7479,34
1050,31,75.472,34
1100,31,76.1487,34
1150,31,76.7346,34
1200,31,77.4715,34
1250,31,80.3325,34
1300,31,83.1343,34
1350,31,84.8287,34
1400,33,85.5073,34
1450,33,87.2616,34
1500,33,88.9262,34
1550,33,92.7445,34
1600,33,95.4556,34
1650,33,98.136,34
1700,33,100.9085,34
1750,33,102.6041,34
1800,33,109.4357,34
1850,33,111.101,34
1900,33,113.9353,34
1950,33,114.4921,34
2000,33,115.2657,34
2050,33,119.0572,34
2100,33,120.8112,34
2150,33,122.5979,34
2200,33,124.2917,34
2250,33,125.9862,34
2300,33,129.7433,34
2350,33,131.4077,34
2400,33,132.1466,34
2450,33,133.9015,34
2500,33,135.5962,34
2550,33,137.4115,34
2600,33,139.1663,34
2650,33,139.9357,34
2700,33,140.6133,34
2750,33,142.3685,34
2800,33,143.1064,34
2850,33,145.9678,34
2900,33,148.6522,34
2950,33,151.3998,34
3000,33,153.0402,34
3050,33,154.8327,34
3100,33,155.5134,34
3150,33,156.1649,34
3200,33,157.9841,34
3250,33,159.7729,34
3300,33,161.4373,34
3350,33,164.2701,34
3400,33,166.085,34
3450,33,169.963,34
3500,33,171.6569,34
3550,33,173.4428,34
3600,33,174.1803,34
3650,33,178.0595,34
3700,33,179.9366,34
3750,33,183.7235,34
3800,33,187.5706,34
3850,33,190.3112,34
3900,33,192.0658,34
3950,33,195.945,34
4000,33,197.7007,34
4050,33,201.6405,34
4100,33,205.5475,34
4150,33,207.3635,34
4200,33,210.2859,34
4250,33,212.0109,34
4300,33,213.6762,34
4350,33,218.5435,34
4400,33,221.4652,34
4450,33,224.3882,34
4500,33,226.264,34
4550,33,229.0343,34
4600,33,230.7902,34
4650,33,231.5318,34
4700,33,233.3186,34
4750,33,234.9853,34
4800,33,235.7679,34
4850,33,241.7431,34
4900,33,244.5582,34
4950,33,247.4243,34
5000,33,249.1522,34
5050,33,250.7888,34
5100,33,251.6193,34
5150,33,257.5315,34
5200,33,259.2263,34
5250,33,262.181,34
5300,33,267.076,34
5350,33,271.0173,34
