run_id,coverage,time_s,total_lines
50,23,5.9565,34
100,23,10.8949,34
150,23,14.7262,34
200,23,22.7261,34
250,23,27.6652,34
300,23,32.4514,34
350,23,37.331,34
400,23,42.2098,34
450,23,46.0515,34
500,26,50.4473,34
550,26,51.7012,34
600,28,53.9095,34
650,28,60.3674,34
700,29,64.4863,34
750,29,69.5596,34
800,29,72.6025,34
850,29,73.7033,34
900,29,75.881,34
950,29,78.9543,34
1000,29,80.0554,34
1050,29,83.1894,34
1100,29,84.2595,34
1150,29,89.3982,34
1200,29,92.5316,34
1250,31,96.5019,34
1300,31,100.4393,34
1350,31,103.4164,34
1400,31,106.4897,34
1450,31,112.6148,34
1500,31,115.7169,34
1550,31,119.8972,34
1600,31,123.091,34
1650,33,127.2133,34
1700,33,131.3066,34
1750,33,134.1673,34
1800,33,139.3635,34
1850,33,144.5846,34
1900,33,146.5814,34
1950,33,150.6041,34
2000,33,151.5849,34
2050,33,153.4619,34
2100,33,157.5831,34
2150,33,162.9012,34
2200,33,165.884,34
2250,33,166.7438,34
2300,33,168.7407,34
2350,33,172.8028,34
2400,33,176.9221,34
2450,33,181.9476,34
2500,33,184.9305,34
2550,33,187.9438,34
2600,33,191.9126,34
2650,33,193.8201,34
2700,33,197.7276,34
2750,33,199.6638,34
2800,33,202.9188,34
2850,33,207.0403,34
2900,33,207.9898,34
2950,33,208.7279,34
3000,33,211.8316,34
3050,33,214.7538,34
3100,33,219.0567,34
3150,33,220.0074,34
3200,33,222.1553,34
3250,33,226.0633,34
3300,33,227.1954,34
3350,33,230.2697,34
3400,33,234.3309,34
3450,33,237.4044,34
3500,33,242.3587,34
3550,33,245.402,34
3600,33,249.4333,34
3650,33,253.4939,34
3700,33,258.7212,34
3750,33,259.7023,34
3800,33,261.6081,34
3850,33,263.4853,34
