run_id,coverage,time_s,total_lines
50,71,0.5367,145
100,79,1.0769,145
150,79,1.6254,145
200,79,2.1652,145
250,79,2.7036,145
300,79,3.2406,145
350,79,3.778,145
400,79,4.3154,145
450,79,4.8613,145
500,79,5.4004,145
550,79,5.9389,145
600,79,6.4767,145
650,79,7.0272,145
700,79,7.5663,145
750,79,8.1053,145
800,79,8.6444,145
850,79,9.1918,145
900,79,9.7315,145
950,79,10.2699,145
1000,79,10.8089,145
1050,79,11.3471,145
1100,79,11.8872,145
1150,79,12.4244,145
1200,79,12.9641,145
1250,79,13.5034,145
1300,79,14.0519,145
1350,79,14.5893,145
1400,79,15.1297,145
1450,79,15.6685,145
1500,79,16.2315,145
1550,79,16.7711,145
1600,79,17.31,145
1650,79,17.85,145
1700,79,18.3879,145
1750,79,18.9259,145
1800,79,19.4742,145
1850,79,20.0256,145
1900,79,20.5647,145
1950,79,21.1032,145
2000,79,21.6416,145
2050,79,22.1826,145
2100,79,22.7211,145
2150,79,23.2722,145
2200,79,23.8135,145
2250,79,24.3497,145
2300,79,24.8907,145
2350,80,25.428,145
2400,80,25.968,145
2450,80,26.5066,145
2500,80,27.0472,145
2550,80,27.5835,145
2600,80,28.1379,145
2650,80,28.6769,145
2700,80,29.2159,145
2750,80,29.7536,145
2800,80,30.2913,145
2850,80,30.8298,145
2900,80,31.3664,145
2950,80,31.9051,145
3000,80,32.4469,145
3050,80,32.987,145
3100,80,33.5255,145
3150,80,34.0648,145
3200,80,34.6042,145
3250,80,35.1434,145
3300,80,35.6827,145
3350,80,36.2201,145
3400,80,36.7594,145
3450,80,37.2975,145
3500,80,37.8371,145
3550,80,38.375,145
3600,80,38.9144,145
3650,80,39.4522,145
3700,80,39.9906,145
3750,80,40.5271,145
3800,82,41.0662,145
3850,82,41.6033,145
3900,82,42.1405,145
3950,82,42.679,145
4000,82,43.2187,145
4050,82,43.7568,145
4100,82,44.3101,145
4150,82,44.8476,145
4200,82,45.3859,145
4250,82,45.9242,145
4300,82,46.4611,145
4350,82,46.9975,145
4400,82,47.5355,145
4450,82,48.0762,145
4500,82,48.6164,145
4550,82,49.1557,145
