run_id,coverage,time_s,total_lines
50,79,0.548,145
100,79,1.1095,145
150,79,1.6618,145
200,79,2.1994,145
250,79,2.737,145
300,79,3.2735,145
350,79,3.8106,145
400,79,4.3472,145
450,79,4.8939,145
500,79,5.4402,145
550,79,5.9779,145
600,79,6.5143,145
650,79,7.0517,145
700,79,7.5882,145
750,79,8.1262,145
800,79,8.6636,145
850,79,9.2112,145
900,79,9.7581,145
950,79,10.2953,145
1000,79,10.8342,145
1050,79,11.3736,145
1100,79,11.9136,145
1150,79,12.4545,145
1200,79,12.9939,145
1250,79,13.5314,145
1300,79,14.0698,145
1350,79,14.6067,145
1400,79,15.1448,145
1450,79,15.6931,145
1500,79,16.2325,145
1550,79,16.7723,145
1600,79,17.3228,145
1650,79,17.8616,145
1700,79,18.4001,145
1750,79,18.9376,145
1800,79,19.4756,145
1850,79,20.0226,145
1900,79,20.56,145
1950,79,21.0983,145
2000,79,21.6468,145
2050,79,22.1845,145
2100,79,22.7238,145
2150,79,23.2639,145
2200,79,23.8049,145
2250,79,24.3551,145
2300,79,24.896,145
2350,80,25.436,145
2400,80,25.9764,145
2450,80,26.5144,145
2500,80,27.0634,145
2550,80,27.6039,145
2600,80,28.1446,145
2650,80,28.6852,145
2700,80,29.2241,145
2750,80,29.7627,145
2800,80,30.3019,145
2850,80,30.8431,145
2900,80,31.3846,145
2950,80,31.9241,145
3000,80,32.4644,145
3050,80,33.0145,145
3100,80,33.5552,145
3150,80,34.0955,145
3200,80,34.657,145
3250,80,35.1948,145
3300,80,35.7339,145
3350,80,36.2747,145
3400,80,36.8136,145
3450,80,37.3523,145
3500,80,37.9129,145
3550,80,38.4634,145
3600,80,39.0132,145
3650,80,39.5645,145
3700,80,40.1042,145
3750,80,40.6436,145
3800,80,41.1835,145
3850,80,41.7225,145
3900,80,42.2613,145
3950,80,42.8,145
4000,80,43.3392,145
4050,80,43.8774,145
4100,80,44.4314,145
4150,80,44.9715,145
4200,82,45.511,145
4250,82,46.0499,145
4300,82,46.5869,145
4350,82,47.1256,145
4400,82,47.6657,145
4450,82,48.2266,145
4500,82,48.7819,145
4550,82,49.3407,145
4600,82,49.8766,145
4650,82,50.4131,145
4700,82,50.9619,145
4750,82,51.4997,145
4800,82,52.0379,145
4850,82,52.5759,145
4900,82,53.1161,145
4950,82,53.6549,145
5000,82,54.1946,145
5050,82,54.7337,145
5100,82,55.2743,145
