run_id,coverage,time_s,total_lines
50,73,0.5299,145
100,73,1.0588,145
150,73,1.5869,145
200,73,2.1244,145
250,73,2.652,145
300,73,3.1793,145
350,73,3.7074,145
400,73,4.237,145
450,73,4.7652,145
500,74,5.2927,145
550,77,5.8209,145
600,77,6.3484,145
650,77,6.8807,145
700,77,7.4117,145
750,77,7.9432,145
800,77,8.4714,145
850,77,9.001,145
900,77,9.5285,145
950,77,10.0568,145
1000,77,10.5846,145
1050,77,11.1129,145
1100,77,11.6401,145
1150,77,12.1679,145
1200,77,12.696,145
1250,77,13.2233,145
1300,77,13.7523,145
1350,77,14.2899,145
1400,77,14.8177,145
1450,77,15.3463,145
1500,77,15.8744,145
1550,77,16.4022,145
1600,77,16.9313,145
1650,77,17.4606,145
1700,77,17.9894,145
1750,77,18.5182,145
1800,77,19.0493,145
1850,77,19.5798,145
1900,77,20.1096,145
1950,77,20.6426,145
2000,77,21.1739,145
2050,77,21.7045,145
2100,77,22.2341,145
2150,77,22.7636,145
2200,77,23.2933,145
2250,77,23.8238,145
2300,77,24.3525,145
2350,77,24.8909,145
2400,77,25.4192,145
2450,77,25.949,145
2500,77,26.478,145
2550,77,27.0072,145
2600,77,27.5359,145
2650,77,28.0648,145
2700,77,28.5942,145
2750,77,29.123,145
2800,77,29.6524,145
2850,77,30.1819,145
2900,77,30.7115,145
2950,77,31.2407,145
3000,77,31.7818,145
3050,77,32.3106,145
3100,77,32.8385,145
3150,77,33.3668,145
3200,77,33.8964,145
3250,77,34.4256,145
3300,77,34.9546,145
3350,77,35.4832,145
3400,77,36.0131,145
3450,77,36.5426,145
3500,77,37.0733,145
3550,77,37.602,145
3600,77,38.1323,145
3650,77,38.6602,145
3700,77,39.1887,145
3750,77,39.7174,145
3800,77,40.2459,145
3850,77,40.7845,145
3900,77,41.3129,145
3950,77,41.8422,145
4000,77,42.3719,145
4050,77,42.9002,145
4100,77,43.4284,145
4150,77,43.9572,145
4200,77,44.4872,145
4250,77,45.0272,145
4300,77,45.556,145
4350,77,46.0854,145
4400,77,46.6142,145
4450,77,47.1429,145
4500,77,47.6724,145
4550,77,48.201,145
4600,77,48.7305,145
4650,77,49.2588,145
4700,77,49.7876,145
4750,77,50.3164,145
4800,78,50.8463,145
4850,78,51.3747,145
4900,78,51.9037,145
4950,78,52.4327,145
5000,78,52.9625,145
5050,78,53.4917,145
5100,78,54.0215,145
5150,78,54.5523,145
5200,78,55.0817,145
5250,78,55.6112,145
5300,78,56.1405,145
5350,78,56.6687,145
5400,78,57.2064,145
5450,78,57.7468,145
5500,78,58.2891,145
5550,78,58.8223,145
5600,78,59.3536,145
5650,78,59.884,145
5700,78,60.4156,145
5750,78,60.9463,145
5800,78,61.4773,145
5850,78,62.0084,145
5900,78,62.5396,145
5950,78,63.0709,145
6000,78,63.6009,145
6050,78,64.1316,145
6100,78,64.6623,145
6150,78,65.1943,145
6200,78,65.7281,145
6250,78,66.2583,145
6300,78,66.7872,145
6350,78,67.3169,145
6400,78,67.8466,145
6450,78,68.3771,145
6500,78,68.9075,145
6550,78,69.4371,145
6600,78,69.966,145
6650,78,70.4976,145
6700,78,71.0308,145
6750,78,71.5623,145
6800,78,72.0939,145
6850,78,72.6257,145
6900,78,73.1576,145
6950,78,73.689,145
7000,78,74.2224,145
7050,78,74.7546,145
7100,78,75.2857,145
7150,78,75.8171,145
7200,78,76.3487,145
7250,78,76.8819,145
7300,78,77.4116,145
7350,78,77.9427,145
7400,78,78.4831,145
7450,78,79.0151,145
7500,78,79.5466,145
7550,78,80.0791,145
7600,78,80.6115,145
7650,78,81.1528,145
7700,78,81.6837,145
7750,78,82.2132,145
7800,78,82.7439,145
7850,78,83.2741,145
7900,78,83.8051,145
7950,78,84.3369,145
8000,78,84.8677,145
8050,78,85.3983,145
8100,78,85.9303,145
8150,78,86.4625,145
8200,78,86.9946,145
