run_id,coverage,time_s,total_lines
50,39,0.5285,145
100,39,1.057,145
150,39,1.5857,145
200,64,2.1244,145
250,64,2.6525,145
300,64,3.1823,145
350,68,3.7127,145
400,68,4.2427,145
450,68,4.7714,145
500,68,5.3005,145
550,68,5.8284,145
600,68,6.3675,145
650,68,6.8958,145
700,68,7.4241,145
750,68,7.9522,145
800,68,8.4799,145
850,69,9.0087,145
900,69,9.5372,145
950,69,10.065,145
1000,69,10.5928,145
1050,69,11.1213,145
1100,69,11.66,145
1150,69,12.1896,145
1200,69,12.7168,145
1250,69,13.246,145
1300,69,13.7735,145
1350,69,14.3012,145
1400,69,14.829,145
1450,69,15.3577,145
1500,69,15.885,145
1550,69,16.4137,145
1600,69,16.9438,145
1650,69,17.4797,145
1700,69,18.0077,145
1750,69,18.5361,145
1800,69,19.0635,145
1850,69,19.5919,145
1900,69,20.1192,145
1950,69,20.6472,145
2000,69,21.176,145
2050,69,21.7046,145
2100,69,22.2326,145
2150,69,22.7605,145
2200,69,23.2884,145
2250,69,23.8165,145
2300,69,24.3443,145
2350,69,24.872,145
2400,69,25.4097,145
2450,69,25.938,145
2500,69,26.4679,145
2550,69,26.9971,145
2600,69,27.5248,145
2650,69,28.0533,145
2700,69,28.5812,145
2750,69,29.1094,145
2800,69,29.6379,145
2850,69,30.1661,145
2900,69,30.6933,145
2950,69,31.2221,145
3000,69,31.7498,145
3050,69,32.2782,145
3100,69,32.8058,145
3150,69,33.3342,145
3200,69,33.8707,145
3250,69,34.3996,145
3300,69,34.9275,145
3350,69,35.4554,145
3400,69,35.9835,145
3450,69,36.5127,145
3500,69,37.0404,145
3550,69,37.5709,145
3600,69,38.0989,145
3650,69,38.6265,145
3700,69,39.1544,145
3750,69,39.6827,145
3800,69,40.2108,145
3850,69,40.7386,145
3900,69,41.2776,145
3950,69,41.806,145
4000,70,42.3341,145
4050,70,42.8724,145
4100,70,43.4006,145
4150,70,43.9289,145
4200,70,44.4572,145
4250,70,44.9857,145
4300,70,45.5134,145
4350,70,46.0417,145
4400,70,46.5706,145
4450,70,47.0992,145
4500,70,47.6272,145
4550,70,48.1557,145
4600,70,48.6837,145
4650,70,49.2117,145
4700,70,49.7393,145
4750,70,50.2679,145
4800,70,50.8052,145
4850,70,51.334,145
4900,70,51.8627,145
4950,70,52.3915,145
5000,70,52.9198,145
5050,70,53.4482,145
5100,70,53.976,145
5150,70,54.5038,145
5200,70,55.0343,145
5250,70,55.5623,145
5300,70,56.0906,145
5350,70,56.6188,145
5400,70,57.1475,145
5450,70,57.6755,145
5500,70,58.2035,145
5550,70,58.7406,145
5600,70,59.2697,145
5650,70,59.7984,145
5700,70,60.3268,145
5750,70,60.8545,145
5800,70,61.3831,145
5850,70,61.9121,145
5900,70,62.4398,145
5950,70,62.9679,145
6000,70,63.4961,145
6050,70,64.024,145
6100,70,64.5522,145
6150,70,65.0803,145
6200,70,65.608,145
6250,70,66.1374,145
6300,70,66.6753,145
6350,70,67.2045,145
6400,70,67.7323,145
6450,70,68.261,145
6500,70,68.7893,145
6550,70,69.3285,145
6600,70,69.8562,145
6650,70,70.3851,145
6700,70,70.913,145
6750,70,71.442,145
6800,70,71.9701,145
6850,70,72.4987,145
6900,70,73.0267,145
6950,70,73.5556,145
7000,70,74.088,145
7050,70,74.6219,145
7100,70,75.1504,145
7150,70,75.6787,145
7200,70,76.2073,145
7250,70,76.7359,145
7300,70,77.2647,145
7350,70,77.7925,145
7400,70,78.3209,145
7450,70,78.8488,145
7500,70,79.3772,145
7550,70,79.9062,145
7600,70,80.4347,145
7650,70,80.9627,145
7700,70,81.4931,145
7750,70,82.0306,145
7800,70,82.5592,145
7850,70,83.0891,145
7900,70,83.6171,145
7950,70,84.1462,145
8000,70,84.6744,145
8050,70,85.2033,145
8100,70,85.7315,145
8150,70,86.2605,145
8200,70,86.7896,145
8250,70,87.3183,145
8300,70,87.8459,145
8350,70,88.3765,145
8400,70,88.9132,145
8450,70,89.4417,145
8500,70,89.9705,145
8550,70,90.4991,145
8600,70,91.0274,145
8650,70,91.5564,145
8700,70,92.0854,145
8750,70,92.6142,145
8800,70,93.1423,145
8850,70,93.6707,145
8900,70,94.199,145
8950,70,94.7275,145
9000,71,95.2553,145
9050,71,95.7937,145
9100,71,96.3228,145
9150,71,96.8517,145
9200,71,97.3915,145
9250,71,97.9203,145
9300,71,98.4484,145
9350,71,98.9771,145
9400,71,99.505,145
9450,71,100.0332,145
9500,71,100.5615,145
9550,71,101.0897,145
9600,71,101.618,145
9650,71,102.1486,145
9700,71,102.6871,145
9750,71,103.2163,145
9800,71,103.7442,145
9850,71,104.2735,145
9900,71,104.8014,145
9950,71,105.3304,145
10000,71,105.8587,145
10050,71,106.3878,145
10100,71,106.9164,145
10150,71,107.4457,145
10200,71,107.974,145
10250,71,108.5032,145
10300,71,109.0309,145
10350,71,109.5592,145
10400,71,110.0962,145
10450,71,110.6397,145
10500,71,111.1686,145
10550,71,111.6972,145
